거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"14,000",,2012,2015,용마산로1길,00007,00000,11215,01,0,4112381,중곡동,0699,0000,11215,10100,1,욱현하이브Ⅲ,1,7,11215-3170,16.81,,699,11215,8,,
"34,800",,2002,2015,자양로53길,00036,00000,11215,01,0,4112467,중곡동,0109,0009,11215,10100,1,삼성로얄,1,14,11215-123,84.53,,109-9,11215,4,,
"30,000",,2003,2015,긴고랑로14길,00063,00000,11215,01,0,4112083,중곡동,0647,0001,11215,10100,1,삼보글로벌101동,1,20,11215-119,58.46,,647-1,11215,6,,
"60,000",,1997,2015,광나루로56길,00029,00000,11215,01,0,4112040,구의동,0631,0001,11215,10300,1,현대프라임,1,3,11215-33,84.99,,631-1,11215,4,,
"56,000",,1996,2015,광나루로56길,00032,00000,11215,01,0,4112040,구의동,0611,0000,11215,10300,1,구의현대2단지,1,5,11215-25,84.91,,611,11215,4,,
"34,500",,2003,2015,광나루로54길,00013,00000,11215,01,0,4112039,구의동,0198,0004,11215,10300,1,광남캐스빌(198-4),1,5,11215-38,83.99,,198-4,11215,5,,
"55,000",,1997,2015,광나루로56길,00029,00000,11215,01,0,4112040,구의동,0631,0001,11215,10300,1,현대프라임,1,5,11215-33,84.99,,631-1,11215,18,,
"47,000",,1997,2015,광나루로56길,00029,00000,11215,01,0,4112040,구의동,0631,0001,11215,10300,1,현대프라임,1,5,11215-33,59.82,,631-1,11215,21,,
"43,500",,1997,2015,광나루로56길,00029,00000,11215,01,0,4112040,구의동,0631,0001,11215,10300,1,현대프라임,1,5,11215-33,59.82,,631-1,11215,16,,
"55,000",,1996,2015,광나루로56길,00032,00000,11215,01,0,4112040,구의동,0611,0000,11215,10300,1,구의현대2단지,1,5,11215-25,84.75,,611,11215,6,,
"34,500",,2002,2015,동일로76가길,00017,00000,11215,01,0,4112232,중곡동,0683,0000,11215,10100,1,중곡동광덕,2,7,11215-95,84.05,,683,11215,9,,
"29,000",,1999,2015,용마산로,00174,00000,11215,01,0,3005028,중곡동,0292,0000,11215,10100,1,에스케이,2,9,11215-87,58.43,,292,11215,17,,
"29,700",,2002,2015,긴고랑로4길,00053,00000,11215,01,0,4112116,중곡동,0254,0012,11215,10100,1,호동,2,11,11215-96,69.36,,254-12,11215,4,,
"29,800",,1999,2015,용마산로,00174,00000,11215,01,0,3005028,중곡동,0292,0000,11215,10100,1,에스케이,2,12,11215-87,58.43,,292,11215,10,,
"29,300",,1999,2015,용마산로,00174,00000,11215,01,0,3005028,중곡동,0292,0000,11215,10100,1,에스케이,2,14,11215-87,58.43,,292,11215,10,,
"32,900",,2002,2015,자양로53길,00036,00000,11215,01,0,4112467,중곡동,0109,0009,11215,10100,1,삼성로얄,2,14,11215-123,78.66,,109-9,11215,6,,
"31,000",,2002,2015,동일로76가길,00017,00000,11215,01,0,4112232,중곡동,0683,0000,11215,10100,1,중곡동광덕,2,14,11215-95,78,,683,11215,2,,
"21,000",,1976,2015,동일로72길,00017,00000,11215,01,0,4112230,중곡동,0191,0077,11215,10100,1,중곡1단지,2,16,11215-88,57.88,,191-77,11215,2,,
"41,850",,1999,2015,용마산로,00174,00000,11215,01,0,3005028,중곡동,0292,0000,11215,10100,1,에스케이,2,21,11215-87,84.6,,292,11215,5,,
"30,700",,1998,2015,동일로,00459,00000,11215,01,0,3000001,중곡동,0681,0000,11215,10100,1,성원,2,28,11215-85,84.98,,681,11215,12,,
"39,300",,2002,2015,용마산로1길,00084,00000,11215,01,0,4112381,중곡동,0133,0009,11215,10100,1,대영2동,3,5,11215-94,84.91,,133-9,11215,1,,
"12,000",,2012,2015,용마산로1길,00007,00000,11215,01,0,4112381,중곡동,0699,0000,11215,10100,1,욱현하이브Ⅲ,3,9,11215-3170,14.5,,699,11215,8,,
"34,300",,2007,2015,능동로48길,00049,00000,11215,01,0,4112164,중곡동,0035,0010,11215,10100,1,웰빙,3,18,11215-2487,83.43,,35-10,11215,3,,
"25,700",,1998,2015,동일로,00459,00000,11215,01,0,3000001,중곡동,0681,0000,11215,10100,1,성원,3,21,11215-85,59.82,,681,11215,14,,
"50,000",,1999,2015,용마산로,00174,00000,11215,01,0,3005028,중곡동,0292,0000,11215,10100,1,에스케이,3,21,11215-87,113.24,,292,11215,2,,
"34,000",,2002,2015,동일로76가길,00017,00000,11215,01,0,4112232,중곡동,0683,0000,11215,10100,1,중곡동광덕,3,23,11215-95,84.05,,683,11215,6,,
"35,000",,2003,2015,영화사로7길,00004,00000,11215,01,0,4112372,중곡동,0107,0004,11215,10100,1,삼보드림,3,23,11215-116,82.44,,107-4,11215,6,,
"19,500",,2003,2015,능동로,00437,00000,11215,01,0,3104007,중곡동,0168,0001,11215,10100,1,에이탑,3,25,11215-147,52.49,,168-1,11215,6,,
"29,400",,1999,2015,용마산로,00174,00000,11215,01,0,3005028,중곡동,0292,0000,11215,10100,1,에스케이,3,28,11215-87,58.43,,292,11215,13,,
"25,200",,1998,2015,동일로,00459,00000,11215,01,0,3000001,중곡동,0681,0000,11215,10100,1,성원,3,30,11215-85,59.82,,681,11215,22,,
"33,500",,2007,2015,능동로48길,00049,00000,11215,01,0,4112164,중곡동,0035,0010,11215,10100,1,웰빙,4,1,11215-2487,83.43,,35-10,11215,4,,
"30,700",,1998,2015,동일로,00459,00000,11215,01,0,3000001,중곡동,0681,0000,11215,10100,1,성원,4,3,11215-85,84.98,,681,11215,15,,
"32,000",,1998,2015,동일로,00459,00000,11215,01,0,3000001,중곡동,0681,0000,11215,10100,1,성원,4,4,11215-85,84.98,,681,11215,13,,
"22,500",,1976,2015,긴고랑로1길,00055,00000,11215,01,0,4112088,중곡동,0190,0026,11215,10100,1,중곡2단지,4,6,11215-100,55.87,,190-26,11215,1,,
"22,400",,2002,2015,긴고랑로,00149,00000,11215,01,0,3104006,중곡동,0068,0006,11215,10100,1,대영(68-6),4,21,11215-89,56.28,,68-6,11215,4,,
"45,000",,1996,2015,면목로,00127,00000,11215,01,0,3005027,중곡동,0231,0001,11215,10100,1,신성그랜드타워,4,23,11215-86,156.03,,231-1,11215,3,,
"28,900",,1999,2015,용마산로,00174,00000,11215,01,0,3005028,중곡동,0292,0000,11215,10100,1,에스케이,4,23,11215-87,58.43,,292,11215,5,,
"17,800",,1976,2015,동일로72길,00017,00000,11215,01,0,4112230,중곡동,0191,0077,11215,10100,1,중곡1단지,4,25,11215-88,48.46,,191-77,11215,5,,
"33,500",,2001,2015,천호대로118길,00010,00000,11215,01,0,4112507,능동,0246,0011,11215,10200,1,(246-11),4,17,11215-185,80.47,,246-11,11215,2,,
"48,800",,2000,2015,자양로26길,00071,00000,11215,01,0,4112430,구의동,0656,0000,11215,10300,1,새한,4,2,11215-30,84.91,,656,11215,9,,
"27,800",,1999,2015,용마산로,00174,00000,11215,01,0,3005028,중곡동,0292,0000,11215,10100,1,에스케이,5,4,11215-87,58.43,,292,11215,1,,
"40,600",,2009,2015,용마산로1길,00048,00000,11215,01,0,4112381,중곡동,0130,0005,11215,10100,1,주성AURA,5,6,11215-2782,68.99,,130-5,11215,6,,
"43,000",,1999,2015,용마산로,00174,00000,11215,01,0,3005028,중곡동,0292,0000,11215,10100,1,에스케이,5,8,11215-87,84.6,,292,11215,13,,
"24,000",,1976,2015,긴고랑로1길,00055,00000,11215,01,0,4112088,중곡동,0190,0026,11215,10100,1,중곡2단지,5,12,11215-100,55.87,,190-26,11215,3,,
"35,000",,2004,2015,천호대로117길,00025,00000,11215,01,0,4112506,중곡동,0130,0001,11215,10100,1,그린트리,5,12,11215-122,84.87,,130-1,11215,3,,
"20,000",,1976,2015,긴고랑로1길,00055,00000,11215,01,0,4112088,중곡동,0190,0026,11215,10100,1,중곡2단지,5,12,11215-100,55.87,,190-26,11215,5,,
"13,000",,2012,2015,용마산로1길,00007,00000,11215,01,0,4112381,중곡동,0699,0000,11215,10100,1,욱현하이브Ⅲ,5,20,11215-3170,15.69,,699,11215,6,,
"25,500",,1998,2015,동일로,00459,00000,11215,01,0,3000001,중곡동,0681,0000,11215,10100,1,성원,5,23,11215-85,59.82,,681,11215,16,,
"26,400",,1998,2015,동일로,00459,00000,11215,01,0,3000001,중곡동,0681,0000,11215,10100,1,성원,5,30,11215-85,59.82,,681,11215,20,,
"48,800",,1997,2015,광나루로56길,00029,00000,11215,01,0,4112040,구의동,0631,0001,11215,10300,1,현대프라임,5,1,11215-33,59.82,,631-1,11215,23,,
"36,000",,2002,2015,동일로76가길,00017,00000,11215,01,0,4112232,중곡동,0683,0000,11215,10100,1,중곡동광덕,6,4,11215-95,84.76,,683,11215,9,,
"13,700",,2012,2015,용마산로1길,00007,00000,11215,01,0,4112381,중곡동,0699,0000,11215,10100,1,욱현하이브Ⅲ,6,4,11215-3170,18.12,,699,11215,6,,
"29,900",,1999,2015,용마산로,00174,00000,11215,01,0,3005028,중곡동,0292,0000,11215,10100,1,에스케이,6,5,11215-87,58.43,,292,11215,9,,
"28,900",,1999,2015,용마산로,00174,00000,11215,01,0,3005028,중곡동,0292,0000,11215,10100,1,에스케이,6,17,11215-87,58.43,,292,11215,4,,
"26,000",,2003,2015,능동로,00437,00000,11215,01,0,3104007,중곡동,0168,0001,11215,10100,1,에이탑,6,18,11215-147,66.42,,168-1,11215,1,,
"29,900",,1999,2015,용마산로,00174,00000,11215,01,0,3005028,중곡동,0292,0000,11215,10100,1,에스케이,6,22,11215-87,58.43,,292,11215,19,,
"49,000",,1996,2015,면목로,00127,00000,11215,01,0,3005027,중곡동,0231,0001,11215,10100,1,신성그랜드타워,6,23,11215-86,156.03,,231-1,11215,4,,
"13,000",,2012,2015,용마산로1길,00007,00000,11215,01,0,4112381,중곡동,0699,0000,11215,10100,1,욱현하이브Ⅲ,6,23,11215-3170,15.01,,699,11215,7,,
"38,600",,2002,2015,영화사로,00058,00000,11215,01,0,3104008,중곡동,0109,0002,11215,10100,1,삼성로얄3,6,24,11215-91,83.07,,109-2,11215,4,,
"21,600",,1976,2015,동일로72길,00017,00000,11215,01,0,4112230,중곡동,0191,0077,11215,10100,1,중곡1단지,6,27,11215-88,57.88,,191-77,11215,3,,
"35,600",,2002,2015,자양로53길,00040,00000,11215,01,0,4112467,중곡동,0109,0013,11215,10100,1,삼성로얄2,7,1,11215-93,83.01,,109-13,11215,4,,
"25,900",,1998,2015,동일로,00459,00000,11215,01,0,3000001,중곡동,0681,0000,11215,10100,1,성원,7,5,11215-85,59.82,,681,11215,14,,
"15,000",,2012,2015,용마산로1길,00007,00000,11215,01,0,4112381,중곡동,0699,0000,11215,10100,1,욱현하이브Ⅲ,7,6,11215-3170,18.12,,699,11215,6,,
"34,800",,2002,2015,동일로76가길,00017,00000,11215,01,0,4112232,중곡동,0683,0000,11215,10100,1,중곡동광덕,7,11,11215-95,84.79,,683,11215,2,,
"38,400",,2002,2015,동일로76가길,00017,00000,11215,01,0,4112232,중곡동,0683,0000,11215,10100,1,중곡동광덕,7,21,11215-95,84.79,,683,11215,4,,
"36,000",,2002,2015,동일로76가길,00017,00000,11215,01,0,4112232,중곡동,0683,0000,11215,10100,1,중곡동광덕,7,25,11215-95,84.76,,683,11215,12,,
"30,000",,1995,2015,긴고랑로15길,00032,00000,11215,01,0,4112084,중곡동,0609,0000,11215,10100,1,삼민,7,30,11215-84,73.56,,609,11215,3,,
"60,000",,1996,2015,광나루로56길,00032,00000,11215,01,0,4112040,구의동,0611,0000,11215,10300,1,구의현대2단지,7,2,11215-25,84.91,,611,11215,8,,
"55,800",,1994,2015,구의강변로,00094,00000,11215,00,,3104003,구의동,0610,0000,11215,10300,1,구의현대6단지,7,3,11215-26,84.92,,610,11215,2,,
